 ,Label,Area,Mean,IntDen,RawIntDen
1,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:background:1,20.676,38.913,804.574,62456.000
2,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0636-0253:3,260.943,43.904,11456.546,889328.000
3,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0429-0513:2,608.725,201.204,122477.721,9507479.000
4,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0820-0856:2,346.597,347.495,120440.857,9349365.000
5,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1039-1187:2,489.706,292.097,143041.386,11103758.000
6,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0957-1352:2,722.862,230.013,166267.671,12906726.000
7,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-2015-0916:1,473.320,71.416,33802.509,2623960.000
8,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1905-1153:1,321.554,124.407,40003.406,3105312.000
9,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1855-0962:1,288.794,105.352,30425.195,2361792.000
10,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1336-0603:1,621.594,78.970,49087.389,3810467.000
11,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1266-0829:1,501.351,88.082,44160.263,3427993.000
12,MAX_20210719_GW4869_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1277-0961:1,979.863,86.170,84434.363,6554318.000
